,Star_name,Distance,Mass,Radius,Gravity
110,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,4.654862618243536e-11
111,SDSS J015141.69+124429.6,70.0,0.04486563599999999,0.09968011,3.0135820037156237e-10
112,SDSS J020742.48+000056.2 [de],111.0,0.04486563599999999,0.09968011,3.0135820037156237e-10
113,2MASS J02103857-3015313,101.0,0.01431882,0.15722739,3.865778992935112e-11
114,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,4.597572547153279e-11
115,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489583,8.193211448222545e-11
116,2MASS J02431371−2453298,35.0,0.031501404,0.10173537,2.0312911435604487e-10
117,LP 771-21,53.0,0.074457864,0.11098404,4.034369910127003e-10
118,Teegarden's star,12.578,0.07636704,0.13050901,2.992341594084957e-10
119,2MASS J02535980+3206373,184.0,0.06204822,0.1952497,1.0862624799566336e-10
120,WISE J0254+0223,24.0,0.06204822,0.1952497,1.0862624799566336e-10
121,DEN 0255-4700,16.2,0.07636704,0.09968011,5.129501282920212e-10
122,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968011,3.1418195357886294e-10
123,2MASS J03205965+1854233,47.0,0.084003744,0.11817745,4.014353521973225e-10
124,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,5.035473146197354e-11
125,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762485,3.008111482956832e-10
126,2MASS J03264225-2102057 [de],80.0,0.017182584,0.1335919,6.42561091921548e-11
127,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070774,3.3921123865496126e-10
128,2MASS J03341218-4953322,27.0,0.06968492400000001,0.10687352,4.071784697072309e-10
129,LP 944-20,20.9,0.06968492400000001,0.14695109,2.153671244732461e-10
130,2MASP J0345432+254023,88.0,0.070639512,0.10790115,4.04931671230581e-10
131,Teide 1,380.0,0.05250234,0.38844414,2.322243276368239e-11
132,2MASS J03510004-0052452,48.0,0.097367976,0.13050901,3.81523553245832e-10
133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,6.924856171228804e-11
134,2MASS J04151954−0935066,18.6,0.02863764,0.09762485,2.0054076553045543e-10
135,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167,4.062240347697692e-10
136,2MASS J04351612-1606574,34.0,0.09545880000000001,0.12948138,3.800034452238936e-10
137,2MASS J04362788-4114465,142.0,0.037228932,0.20244311,6.062626018671104e-11
138,2MASS J04390101-2353083 [de],29.5,0.04582022400000002,0.09968011,3.077700769752128e-10
139,2MASS J04433764+0002040,82.0,0.021000936,0.18291814,4.1890090683070244e-11
140,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,3.861078205679703e-10
141,2MASS J04510093-3402150 [de],69.0,0.000992772,7.398936,1.2103115582173245e-15
142,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,3.861078205679703e-10
143,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181294,6.652574491906386e-11
144,2MASS J05160945-0445499 [de],73.0,0.04486563599999999,0.09968011,3.0135820037156237e-10
145,2MASS J0523−1403,40.0,0.064911984,0.10379063,4.0215621934464114e-10
146,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,3.6075778500033983e-10
147,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,8.496663724082637e-11
148,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,1.0054450175967384e-10
149,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173537,3.447039516345004e-10
150,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,3.9624215729545515e-10
151,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115,4.104037208418049e-10
152,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,4.0943660867090814e-10
153,UGPS J072227.51-054031.2,13.4,0.024819288,0.10070774,1.6332392972275914e-10
